DV;Bloc;Pergunta;N_total;N_econ0;N_econ1;media_e0;media_e1;sd_e0;sd_e1;mediana_e0;mediana_e1;diff_media
algumas_pessoas_dizem_2;H6-Pessimista;Algumas pessoas dizem que, para ter uma vida confortável, a família média deve ter dois assalariados em tempo integral. Você concorda com isso, ou acha que a família média pode viver confortavelmente com apenas um assalariado em tempo integral?;183;166;17;1.265;1.294;0.615;0.588;1.0;1.0;0.029
próximos_cinco_anos;H6-Pessimista;Nos próximos cinco anos, você acha que o padrão de vida do cidadão médio vai subir, cair ou se manter aproximadamente o mesmo?;178;161;17;0.652;0.588;0.744;0.712;0.0;0.0;-0.064
espera_geração_seus;H6-Pessimista;"Você espera que a geração de seus filhos desfrute de um padrão de vida mais alto ou mais baixo do que a sua geração, ou acha que será aproximadamente o mesmo?
";182;165;17;1.388;1.176;0.754;0.883;2.0;1.0;-0.211
filhos_menos_30;H6-Pessimista;"(Se você tem filhos com menos de 30 anos) Quando eles atingirem a sua idade, você espera que eles desfrutem de um padrão de vida mais alto ou mais baixo do que o seu agora, ou espera que seja aproximadamente o mesmo?
";138;123;15;1.504;1.267;0.67;0.799;2.0;1.0;-0.237
reforma_previdência_necessária;H7-Ideologia;A reforma da previdência é necessária;182;165;17;1.545;1.176;0.629;0.809;2.0;1.0;-0.369
reforma_trabalhista_necessária;H7-Ideologia;A reforma trabalhista é necessária;182;165;17;1.497;1.235;0.659;0.831;2.0;1.0;-0.262
reforma_tributária_necessária;H7-Ideologia;A reforma tributária é necessária;182;165;17;1.806;1.941;0.454;0.243;2.0;2.0;0.135
privatização_estatais_benéfica;H7-Ideologia;A privatização de estatais é benéfica;183;166;17;1.066;0.882;0.803;0.928;1.0;1.0;-0.184
produtos_importados_benéficos;H4-Antiestrangeiro;Produtos importados são benéficos;182;165;17;1.285;1.588;0.613;0.618;1.0;2.0;0.303
corrupção_principal_causa;H7-Ideologia;A corrupção é a principal causa do subdesenvolvimento;182;165;17;1.382;0.941;0.72;0.827;2.0;1.0;-0.441
taxa_juros_selic;H7-Ideologia;A taxa de juros (SELIC) é alta demais;181;164;17;1.348;1.765;0.706;0.437;1.0;2.0;0.417
governo_atual_sabe;H7-Ideologia;O governo atual sabe lidar com crises econômicas;182;165;17;0.467;0.941;0.694;0.899;0.0;1.0;0.475
governo_deve_intervir;H7-Ideologia;O governo deve intervir para controlar preços;182;165;17;0.679;0.647;0.757;0.702;1.0;1.0;-0.032
entrada_estrangeiros_mercado;H4-Antiestrangeiro;A entrada de estrangeiros no mercado de trabalho é benéfica;182;165;17;1.321;1.529;0.634;0.624;1.0;2.0;0.208
indústria_nacional_deve;H4-Antiestrangeiro;A indústria nacional deve ser protegida;182;165;17;1.194;1.0;0.748;0.791;1.0;1.0;-0.194
brasil_chance_virar;H6-Pessimista;O Brasil tem chance de virar potência econômica;183;166;17;1.404;1.176;0.738;0.728;2.0;1.0;-0.227
lucros_empresariais_ocorrem;H7-Ideologia;Lucros empresariais ocorrem às custas dos trabalhadores;182;165;17;0.921;1.176;0.862;0.883;1.0;1.0;0.255
competição_entre_empresas;H5-Antitrabalho;A competição entre empresas beneficia consumidores;182;165;17;1.794;1.882;0.449;0.332;2.0;2.0;0.088
brasil_deveria_priorizar;H4-Antiestrangeiro;O Brasil deveria priorizar a produção interna mesmo com preços maiores;181;164;17;0.878;0.706;0.707;0.686;1.0;1.0;-0.172
automação_prejudica_mercado;H5-Antitrabalho;A automação prejudica o mercado de trabalho;183;166;17;0.355;0.235;0.593;0.562;0.0;0.0;-0.12
brasil_deveria_adotar;H4-Antiestrangeiro;O Brasil deveria adotar política de livre comércio com outros países;182;165;17;1.442;1.471;0.638;0.514;2.0;1.0;0.028
